dwr3id,elev_cdec,lat,lon
CWF,5100,41.893398,-120.7519
MB3,6200,41.224998,-122.810997
SCT,5900,41.271999,-122.718002
PET,7150,41.302299,-122.527702
RRM,6700,41.022999,-122.885002
BNK,6450,41.083,-122.627998
SHM,6400,41.007999,-122.800003
HIG,6030,41.092999,-122.483002
MUM,5650,41.196999,-122.523003
BFL,5100,41.080002,-122.942001
SDF,6750,41.350399,-122.246399
SLT,5700,41.044998,-122.477997
STM,5400,41.169998,-121.938004
CDP,7100,41.583,-120.303001
BLA,7050,40.769836,-121.199722
MED,6700,41.586899,-121.613098
ADM,6200,41.237,-120.792
SNM,5950,40.778,-121.781998
NLS,5100,39.537998,-122.667
LLP,8250,40.466602,-121.50811
KTL,7300,40.139999,-120.714996
GRZ,6900,39.917,-120.644997
PLP,6800,39.785892,-120.877777
GOL,6750,39.674782,-120.61718
HMB,6500,40.115002,-121.367996
HRK,6200,40.417999,-121.275002
RTL,6100,40.125,-121.042999
BKL,5750,39.849998,-121.241997
FOR,5150,39.812366,-121.32254
MDW,7200,39.406075,-120.506256
CSL,6900,39.325001,-120.366997
RCC,6480,39.621899,-120.68
SSM,6300,39.696999,-120.779999
SCN,8750,38.747002,-120.068001
LOS,8600,38.924999,-120.196999
CXS,8353,38.692402,-120.002098
CAP,8000,38.709999,-120.042
FRN,7600,38.805,-120.212997
ALP,7600,38.804192,-120.215652
SIL,7100,38.678001,-120.117996
VVL,6700,38.943947,-120.306061
HYS,6600,39.282001,-120.527
RBB,5900,38.911533,-120.379295
GKS,5600,39.075001,-120.557999
BLC,5280,39.280109,-120.70871
RBP,5150,38.902382,-120.376541
HHM,8700,38.487312,-119.805748
BLK,8000,38.612999,-119.931
MDL,7900,38.615002,-120.139999
DDM,9250,38.331596,-119.654114
GNL,8400,38.204308,-119.893188
REL,8100,38.242916,-119.762917
SLM,7750,38.505501,-119.937302
BLD,7200,38.450001,-120.032997
BLS,6500,38.375,-120.192001
TES,9945,37.910854,-119.258453
DAN,9800,37.896999,-119.257004
SLI,9200,38.091999,-119.43
TUM,8600,37.873001,-119.349998
HRS,8400,38.158001,-119.662003
WHW,7900,37.859501,-119.651604
PDS,7650,38.047001,-119.669998
KIB,6700,38.032001,-119.876999
STR,8200,37.637001,-119.550003
TNY,8150,37.838001,-119.447998
GIN,7050,37.766998,-119.773003
VLC,10050,37.388,-118.903
AGP,9450,37.726631,-119.141731
KSP,9200,37.299999,-119.099998
GRM,7900,37.555,-119.237999
DPO,7569,37.62941,-119.084671
TMR,7550,37.165001,-119.199997
CHM,7150,37.41,-119.489998
HNT,7000,37.228001,-119.221001
PSR,6900,37.403,-119.519997
GRV,6900,37.465,-119.290001
BSH,11200,37.099998,-118.556999
CRL,10400,36.777519,-118.42601
BCB,10300,37.066681,-118.77301
STL,10300,36.926998,-118.573997
MTM,9900,36.737,-118.711998
UBC,9700,37.1833,-118.938293
WWC,9100,37.029999,-118.917999
BIM,7600,36.715366,-118.84343
FRW,9500,36.415089,-118.578903
GNF,6650,36.562,-118.764999
QUA,7200,36.117512,-118.539993
UTY,11400,36.650002,-118.397003
CBT,10700,36.563683,-118.347946
CHP,10300,36.497143,-118.446716
PSC,9150,35.966999,-118.349998
WTM,8950,36.348,-118.571999
TUN,8900,36.366299,-118.289131
CSV,8300,36.198101,-118.267677
BCH,7650,36.126095,-118.293457
DSS,7050,41.993,-120.165001
BMW,8700,39.458,-119.945999
IDP,8450,39.435001,-120.321999
SQV,8200,39.194,-120.276001
IDC,7000,39.452587,-120.298546
INN,6500,39.493999,-120.292999
TK2,6400,39.299999,-120.194
MSK,8900,39.326,-119.902
HVN,8800,38.929001,-119.917
HGM,8000,38.853001,-119.940002
MRL,8000,39.173,-119.904999
EP5,7800,38.848999,-120.079002
RP2,7500,39.000999,-120.139999
TCC,6750,39.17144,-120.154655
WC3,6750,39.135574,-120.218681
FLL,6250,38.931999,-120.056
EBB,8700,38.561001,-119.807999
HOR,8557,38.836498,-119.887299
MNT,8350,38.669998,-119.614998
BSK,8129,38.719398,-119.894203
FDC,8017,38.6824,-119.959702
PSN,7900,38.500999,-119.630997
SPT,6150,38.666271,-119.817421
LVT,9600,38.282001,-119.621002
SDW,9313,38.397499,-119.535599
VRG,9300,38.077,-119.234001
LBD,9200,38.439999,-119.376999
SPS,8750,38.318001,-119.600998
LVM,7200,38.305,-119.552002
GEM,10750,37.779999,-119.169998
SWM,10200,37.161961,-118.562592
CWD,10150,36.483826,-118.177551
BGP,9800,37.127819,-118.476967
RCK,9700,37.457279,-118.735023
SLK,9600,37.175903,-118.56266
MHP,9300,37.6124,-119.031754
